cfg,family,param,P,stage,err2_lin,true2_lin,err2_ang,true2_ang
10222,grown,0.1,8,b1,0.0010264492,0.038906886,0.00019032311,0.033971714
10222,grown,0.1,8,moments,0.00033091005,0.038906886,0.00014389164,0.033971714
10222,grown,0.1,8,diag,0.00025568254,0.038906886,0.00011091485,0.033971714
9839,grown,0.1,8,2b,0.0016535849,0.36502877,0.00063775217,0.030809336
9839,grown,0.1,8,b1,0.00040130038,0.36502877,0.00023107201,0.030809336
9839,grown,0.1,8,moments,0.00021079235,0.36502877,0.00013809226,0.030809336
9839,grown,0.1,8,diag,0.00018171417,0.36502877,0.00011305008,0.030809336
10798,grown,0.1,8,2b,0.0010957459,0.04146581,0.00035582009,0.025080293
10798,grown,0.1,8,b1,0.0005389482,0.04146581,0.00011383867,0.025080293
10798,grown,0.1,8,moments,0.00016471896,0.04146581,9.6175959e-05,0.025080293
10798,grown,0.1,8,diag,0.00014356348,0.04146581,7.6752055e-05,0.025080293
11012,grown,0.1,8,2b,0.0014054958,0.093925932,0.0003254175,0.015256491
11012,grown,0.1,8,b1,0.00075926029,0.093925932,0.00013002719,0.015256491
11012,grown,0.1,8,moments,0.00015258925,0.093925932,8.600008e-05,0.015256491
11012,grown,0.1,8,diag,0.0001487266,0.093925932,6.6305868e-05,0.015256491
12137,grown,0.2,12,2b,0.001413697,0.13504535,0.0003815704,0.052313018
12137,grown,0.2,12,b1,0.00052558384,0.13504535,0.00017525804,0.052313018
12137,grown,0.2,12,moments,0.0001825705,0.13504535,0.00011873424,0.052313018
12137,grown,0.2,12,diag,0.00015276612,0.13504535,9.3812594e-05,0.052313018
11868,grown,0.2,12,2b,0.0041158944,0.52187665,0.00084860132,0.056963046
11868,grown,0.2,12,b1,0.0009202329,0.52187665,0.00016721552,0.056963046
11868,grown,0.2,12,moments,0.00032126317,0.52187665,0.00020157677,0.056963046
11868,grown,0.2,12,diag,0.00026606816,0.52187665,0.00015629183,0.056963046
12045,grown,0.2,12,2b,0.0017794894,0.13041585,0.00035281057,0.053886084
12045,grown,0.2,12,b1,0.00040651315,0.13041585,0.00011498046,0.053886084
12045,grown,0.2,12,moments,0.00023170272,0.13041585,6.3557169e-05,0.053886084
12045,grown,0.2,12,diag,0.00014962601,0.13041585,6.300134e-05,0.053886084
12246,grown,0.2,12,2b,0.0013071599,0.10447722,0.00016319629,0.075102236
12246,grown,0.2,12,b1,0.00064953137,0.10447722,0.00010676495,0.075102236
12246,grown,0.2,12,moments,0.00018358433,0.10447722,6.3572783e-05,0.075102236
12246,grown,0.2,12,diag,0.00017893037,0.10447722,6.992888e-05,0.075102236
12966,grown,0.2,12,2b,0.00097302132,0.14835662,0.00020085754,0.036168687
12966,grown,0.2,12,b1,0.00032072912,0.14835662,4.8337836e-05,0.036168687
12966,grown,0.2,12,moments,0.00014728112,0.14835662,5.0927689e-05,0.036168687
12966,grown,0.2,12,diag,0.00012998027,0.14835662,6.0284752e-05,0.036168687
