backend,n,step,t,far_ms,nsearch_ms,self2b_ms,nbody_ms,overall_near_ms,total_gpu_ms,near_pairs,wall_ms,z_std,bbox_vol,gpu,git_sha,label,mac,max_leaf,pdeg,fp32_level,hilbert_q,pair_budget_gb
widebvh,1047968,41,0.41,398.6,11.391,606.118,1451.588,2069.87,2469.428,19996734,2469.471,220.358,164424880.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,42,0.42,407.706,11.428,603.71,1458.881,2074.847,2483.605,20047436,2483.651,220.005,167120368.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,43,0.43,401.533,11.741,613.847,1460.132,2086.49,2489.009,20089450,2489.057,219.691,169850064.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,44,0.44,400.201,11.429,613.07,1468.38,2093.649,2494.776,20126106,2494.82,219.419,172649904.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,45,0.45,401.129,11.58,611.086,1470.267,2093.701,2495.824,20161520,2495.868,219.191,175643216.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,46,0.46,397.489,11.551,615.795,1467.563,2095.682,2494.154,20189086,2494.202,219.01,178673440.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,47,0.47,397.575,11.594,616.814,1477.119,2106.291,2504.828,20207520,2504.871,218.879,181822480.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,48,0.48,398.064,11.405,614.437,1471.04,2097.648,2496.695,20218390,2496.746,218.8,184972080.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,49,0.49,391.573,11.656,619.563,1473.221,2105.223,2497.813,20220788,2497.864,218.775,188053936.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,0,0.0,355.288,10.782,644.113,1532.553,2188.211,2544.414,21166894,2544.468,238.229,95863408.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p5_mac0.7_leaf512,0.7,512,5,3,,1.0
widebvh,1047968,1,0.01,369.068,11.884,655.864,1556.217,2224.742,2594.712,21469774,2594.758,238.246,97852304.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p5_mac0.7_leaf512,0.7,512,5,3,,1.0
widebvh,1047968,2,0.02,372.572,11.964,664.158,1580.879,2257.773,2631.263,21835222,2631.31,238.226,99814432.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p5_mac0.7_leaf512,0.7,512,5,3,,1.0
