case,n,loading,backend,policy,order,pdeg,max_leaf,mac,theta,rel_far,rel_total,far_ms,near_pairs,traverse_ms,p2p_ms,build_ms,upward_ms,fp32_level,rel_asym,rel_asym_stderr,asym_probes,pair_budget_gb,gpu
twodrop0,1047968,gravity,widebvh,bary,,7,1024,0.7,,3.553815076674173e-07,3.5531459106321386e-07,486.6652939999767,10820533.0,308.7437744140625,136.1453399658203,15.675658,18.371062,3,0.00014896536573643046,4.5904591766929986e-05,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,7,1024,0.8,,1.1380903632035762e-06,1.137876066340236e-06,363.61868299961014,7335886.0,230.5984344482422,89.83881378173828,15.482251999999999,17.686403,3,0.0006029505697139324,0.00013581499580433238,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,7,1024,0.9,,3.7867829555014317e-06,3.786069922744323e-06,284.57159633277723,5946155.0,175.967041015625,69.31680297851562,15.557683,20.114487,3,0.0020057160802622927,0.0003501710777198409,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,7,1024,1.0,,1.0750720170820287e-05,1.0748695862658351e-05,271.73067433371517,5918843.0,159.54013061523438,67.29840087890625,15.646089,16.773291,3,0.004570761440020347,0.0009409917165201041,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,7,2048,0.6,,1.3058396914419356e-07,1.305593808198435e-07,706.0305120006282,14048292.0,349.5310363769531,312.69793701171875,14.459028,19.620899,3,3.045520809650634e-05,7.3272267210645615e-06,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,7,2048,0.7,,4.4028340405068903e-07,4.402005008335814e-07,498.4068053333128,9123685.0,259.6556701660156,197.3360595703125,14.731754,19.707299,3,0.00011932364329715615,3.569762847720217e-05,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,7,2048,0.8,,1.6318382912592163e-06,1.6315310240697193e-06,372.0692903334566,6222836.0,201.6334686279297,131.74815368652344,14.72311,21.529611,3,0.0005859067147387961,0.00010325165257162928,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,7,2048,0.9,,4.937592021551932e-06,4.936662297061784e-06,287.2191406665176,4801389.0,153.43402099609375,97.42755126953125,14.637920000000001,19.47356,3,0.0018982619707261182,0.0005193871887641709,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,7,2048,1.0,,1.0746434268984453e-05,1.0744410767836923e-05,274.05193399924127,4762051.0,137.7749786376953,96.67289733886719,14.620178,19.305844,3,0.004028746571382576,0.0008294683631146075,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,256,0.6,,5.331898415892085e-06,5.330894445431464e-06,527.3798846659096,15916511.0,424.6931457519531,67.59382629394531,19.099393,8.01605,3,0.0004190907367348438,8.949783605184798e-05,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,256,0.7,,1.431693157827787e-05,1.4314235769905285e-05,370.87975066606305,10141320.0,290.84942626953125,38.09622573852539,18.876214,9.072063,3,0.001398192869059985,0.00033033116234783933,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
