N,phi,seed,forcing,rung,truth_gap,n_near,sd_check,acc,prmse_lin,prmse_fluct,err_mean_pct,prmse_ang,rel_rmse,max_rel_lin
200,0.2,8425,random,2b,0.0006793212065504,6369,3.675521243509674e-14,fine,17.81121422416178,40.10112127600646,5.219102362910764,16.647003101339905,17.69740622306896,90.75745105473656
200,0.2,8425,random,near_nn,0.0006793212065504,6369,3.675521243509674e-14,fine,6.554084095933666,14.743642763255757,1.9420725846871785,6.443381324442429,6.543017245978505,38.108800746485
200,0.2,8425,random,stack_nn,0.0006793212065504,6369,3.675521243509674e-14,fine,6.425941442250638,14.397197032493224,2.0006875534916064,6.022549343518064,6.386459763972254,35.36757114670807
200,0.2,8425,random,near_ex,0.0006793212065504,6369,3.675521243509674e-14,fine,5.015430021838962,10.87994562059536,2.052400736649454,3.3800372104373944,4.875597695863188,21.20613526273696
200,0.2,8425,random,diag_ex,0.0006793212065504,6369,3.675521243509674e-14,fine,4.725310138325915,10.263036903792315,1.9187891542701616,2.1006540864094445,4.530320085515553,19.88074584150029
200,0.2,8425,random,far_ex,0.0006793212065504,6369,3.675521243509674e-14,fine,0.0045316545487421,0.0105732675958629,0.0001848281858715,0.0141492521689337,0.0062156705512731,0.0232391628849708
200,0.2,8425,random,rpy+ref1,0.0006793212065504,6369,3.675521243509674e-14,fine,4.818346428137894,11.085394587760502,0.9083230811599684,8.412972122106464,5.292220906301419,11.90060965226855
200,0.2,8425,random,rpy+ref2,0.0006793212065504,6369,3.675521243509674e-14,fine,5.921585100292638,13.648883859348564,1.0445385358914083,9.004123867680667,6.300786623999528,16.976359151697373
200,0.2,8425,random,rpy+full,0.0006793212065504,6369,3.675521243509674e-14,fine,4.6511510823228654,10.714354823652949,0.8386044347753144,8.100676814244569,5.105323703802128,10.41504602091854
200,0.2,8425,random,sd_minf,0.0006793212065504,6369,3.675521243509674e-14,fine,4.651151082323164,10.714354823653592,0.8386044347754973,8.10067681424439,5.105323703802346,10.41504602091504
200,0.2,8425,random,stack+ref1,0.0006793212065504,6369,3.675521243509674e-14,fine,17.884734135245388,40.67807524424485,4.470196377708476,18.502222011400963,17.94789927788595,73.73966373152028
200,0.2,8425,random,stack+ref2,0.0006793212065504,6369,3.675521243509674e-14,fine,13.737612446986123,30.83323106275837,4.188232072093156,13.830136676405791,13.746961116924364,46.65046840318229
200,0.2,8425,random,stack+full,0.0006793212065504,6369,3.675521243509674e-14,fine,15.26070549603615,34.413943313154455,4.375390335270192,15.337964546590122,15.268505923022492,55.44540995169622
200,0.2,8425,random,stack+ref1_uncov,0.0006793212065504,6369,3.675521243509674e-14,fine,3.958554023372692,8.961651856118378,1.0714997912604207,5.411376406132925,4.128128521065792,13.544887365084998
200,0.2,8425,random,pnear+ref1_far,0.0006793212065504,6369,3.675521243509674e-14,fine,1.217413178396754,2.761168484112154,0.3197872593419435,1.067503554608124,1.2031582831875076,5.165074880201477
200,0.2,8425,random,pnear+full_far,0.0006793212065504,6369,3.675521243509674e-14,fine,0.7649401167149806,1.7618789108206012,0.1385806776873969,0.487549397542328,0.741710854592567,2.5467451244891754
