backend,n,step,t,far_ms,nsearch_ms,self2b_ms,nbody_ms,overall_near_ms,total_gpu_ms,near_pairs,wall_ms,z_std,bbox_vol,gpu,git_sha
widebvh,1047968,92,0.92,108.003,2.647,26.289,142.384,171.588,280.225,19677400,280.285,285.215,360432352.0,NVIDIA H200,ac78eb4
widebvh,1047968,93,0.93,107.327,2.541,26.265,142.399,171.465,279.394,19669878,279.45,288.245,365088416.0,NVIDIA H200,ac78eb4
widebvh,1047968,94,0.94,108.368,2.563,26.259,142.539,171.628,280.599,19664202,280.664,291.325,369505184.0,NVIDIA H200,ac78eb4
widebvh,1047968,95,0.95,108.791,2.515,26.213,141.371,170.367,279.765,19658666,279.82,294.455,373573632.0,NVIDIA H200,ac78eb4
widebvh,1047968,96,0.96,108.556,2.522,26.217,141.377,170.38,279.539,19655540,279.65,297.633,377314496.0,NVIDIA H200,ac78eb4
widebvh,1047968,97,0.97,108.515,2.527,26.259,142.122,171.164,280.285,19652460,280.341,300.858,381161600.0,NVIDIA H200,ac78eb4
widebvh,1047968,98,0.98,107.86,2.539,26.266,142.149,171.218,279.68,19651626,279.737,304.128,385747872.0,NVIDIA H200,ac78eb4
widebvh,1047968,99,0.99,108.871,2.562,26.256,142.671,171.843,281.557,19650038,281.625,307.443,390016640.0,NVIDIA H200,ac78eb4
widebvh,1047968,100,1.0,108.096,2.902,26.212,141.297,170.713,279.466,19648100,279.525,310.801,393933568.0,NVIDIA H200,ac78eb4
widebvh,1047968,101,1.01,107.9,2.546,26.171,141.339,170.318,278.82,19642804,278.877,314.2,397655040.0,NVIDIA H200,ac78eb4
widebvh,1047968,102,1.02,107.606,2.608,26.061,141.259,170.204,278.41,19637302,278.465,317.64,401588160.0,NVIDIA H200,ac78eb4
widebvh,1047968,103,1.03,107.836,2.547,26.237,142.037,171.091,279.532,19634532,279.586,321.12,406104704.0,NVIDIA H200,ac78eb4
widebvh,1047968,104,1.04,109.084,2.534,26.215,142.325,171.33,281.016,19631080,281.07,324.638,410261312.0,NVIDIA H200,ac78eb4
widebvh,1047968,105,1.05,109.463,2.545,26.214,142.128,171.143,281.205,19626362,281.26,328.192,414102336.0,NVIDIA H200,ac78eb4
widebvh,1047968,106,1.06,109.857,2.58,26.207,142.244,171.296,281.752,19625658,281.808,331.783,417689280.0,NVIDIA H200,ac78eb4
widebvh,1047968,107,1.07,110.48,2.761,26.3,142.083,171.466,282.726,19635168,282.799,335.408,421143424.0,NVIDIA H200,ac78eb4
widebvh,1047968,108,1.08,110.738,2.597,26.244,142.19,171.29,282.634,19653242,282.696,339.067,424837152.0,NVIDIA H200,ac78eb4
widebvh,1047968,109,1.09,110.636,2.611,26.313,142.5,171.693,282.913,19674968,282.968,342.759,429145120.0,NVIDIA H200,ac78eb4
widebvh,1047968,110,1.1,111.263,2.556,26.291,142.706,171.818,283.673,19692576,283.728,346.483,433142944.0,NVIDIA H200,ac78eb4
widebvh,1047968,111,1.11,109.952,2.582,26.362,142.607,171.813,282.361,19703492,282.416,350.237,436781920.0,NVIDIA H200,ac78eb4
widebvh,1047968,112,1.12,111.953,2.636,26.216,141.698,170.809,283.364,19705882,283.419,354.022,440248992.0,NVIDIA H200,ac78eb4
widebvh,1047968,113,1.13,110.41,2.632,26.24,141.681,170.82,281.827,19701610,281.881,357.835,443693984.0,NVIDIA H200,ac78eb4
widebvh,1047968,114,1.14,112.923,2.643,26.247,141.632,170.793,284.323,19686052,284.38,361.677,447181184.0,NVIDIA H200,ac78eb4
widebvh,1047968,115,1.15,110.103,2.81,26.242,142.225,171.548,282.26,19663096,282.319,365.546,450593504.0,NVIDIA H200,ac78eb4
widebvh,1047968,116,1.16,111.856,2.712,26.226,142.174,171.371,283.824,19632592,283.879,369.442,454629312.0,NVIDIA H200,ac78eb4
widebvh,1047968,117,1.17,113.134,2.707,26.183,141.032,170.185,283.939,19595500,283.996,373.364,458446016.0,NVIDIA H200,ac78eb4
widebvh,1047968,118,1.18,111.857,2.711,25.987,140.764,169.717,282.179,19556956,282.234,377.311,462043232.0,NVIDIA H200,ac78eb4
widebvh,1047968,119,1.19,112.098,2.69,25.995,140.574,169.518,282.201,19521302,282.255,381.283,465341664.0,NVIDIA H200,ac78eb4
widebvh,1047968,120,1.2,112.633,2.697,26.05,141.08,170.098,283.328,19488156,283.383,385.28,468698528.0,NVIDIA H200,ac78eb4
widebvh,1047968,121,1.21,110.921,2.705,25.991,141.139,170.11,281.633,19457854,281.689,389.3,472070880.0,NVIDIA H200,ac78eb4
widebvh,1047968,122,1.22,112.578,2.834,25.904,140.931,169.924,283.092,19423064,283.148,393.344,475330688.0,NVIDIA H200,ac78eb4
widebvh,1047968,123,1.23,112.189,2.703,25.895,139.675,168.526,281.316,19393070,281.371,397.41,478547200.0,NVIDIA H200,ac78eb4
widebvh,1047968,124,1.24,111.794,2.685,25.718,139.522,168.179,280.579,19363370,280.634,401.499,481792288.0,NVIDIA H200,ac78eb4
widebvh,1047968,125,1.25,113.012,2.68,25.768,139.329,168.043,281.685,19339976,281.742,405.611,485572320.0,NVIDIA H200,ac78eb4
widebvh,1047968,126,1.26,111.287,2.702,25.787,139.97,168.718,280.621,19324214,280.679,409.744,489181184.0,NVIDIA H200,ac78eb4
widebvh,1047968,127,1.27,111.297,2.686,25.844,140.094,168.88,280.779,19316268,280.835,413.899,492471008.0,NVIDIA H200,ac78eb4
widebvh,1047968,128,1.28,113.275,2.685,25.692,139.026,167.662,281.55,19305738,281.608,418.076,495699616.0,NVIDIA H200,ac78eb4
widebvh,1047968,129,1.29,112.964,2.688,25.742,139.008,167.702,281.276,19288628,281.335,422.273,499008512.0,NVIDIA H200,ac78eb4
widebvh,1047968,130,1.3,116.438,2.674,25.719,139.569,168.221,285.253,19266090,285.308,426.492,502096032.0,NVIDIA H200,ac78eb4
widebvh,1047968,131,1.31,118.671,2.701,25.691,139.459,168.116,287.389,19236186,287.445,430.732,505249408.0,NVIDIA H200,ac78eb4
widebvh,1047968,132,1.32,114.838,2.727,25.594,138.229,166.81,282.254,19201564,282.311,434.993,508680320.0,NVIDIA H200,ac78eb4
widebvh,1047968,133,1.33,111.488,2.709,25.653,138.899,167.524,279.61,19164458,279.667,439.275,511936448.0,NVIDIA H200,ac78eb4
widebvh,1047968,134,1.34,114.753,2.702,25.555,138.788,167.31,282.668,19127228,282.725,443.577,515124032.0,NVIDIA H200,ac78eb4
widebvh,1047968,135,1.35,116.159,2.721,25.562,138.406,166.954,283.715,19091380,283.772,447.9,518298560.0,NVIDIA H200,ac78eb4
widebvh,1047968,136,1.36,113.919,2.713,25.462,138.029,166.462,280.982,19052858,281.037,452.244,521653984.0,NVIDIA H200,ac78eb4
widebvh,1047968,137,1.37,115.005,2.679,25.369,138.046,166.436,282.343,19015380,282.411,456.608,525078112.0,NVIDIA H200,ac78eb4
widebvh,1047968,138,1.38,115.726,3.074,25.437,137.775,166.589,282.964,18977428,283.024,460.993,528474208.0,NVIDIA H200,ac78eb4
widebvh,1047968,139,1.39,114.578,2.699,25.268,136.497,164.722,279.91,18939372,279.966,465.398,531758336.0,NVIDIA H200,ac78eb4
widebvh,1047968,140,1.4,112.532,2.676,25.2,136.278,164.409,277.556,18908918,277.614,469.824,535078464.0,NVIDIA H200,ac78eb4
widebvh,1047968,141,1.41,113.687,2.699,25.138,136.186,164.281,278.559,18883864,278.616,474.271,538222848.0,NVIDIA H200,ac78eb4
widebvh,1047968,142,1.42,113.142,2.789,25.233,136.675,164.953,278.694,18860122,278.749,478.737,541485696.0,NVIDIA H200,ac78eb4
widebvh,1047968,143,1.43,115.219,2.737,25.206,136.687,164.886,280.728,18838234,280.784,483.225,544933824.0,NVIDIA H200,ac78eb4
widebvh,1047968,144,1.44,114.127,2.771,25.226,136.521,164.776,279.504,18816976,279.56,487.733,548499328.0,NVIDIA H200,ac78eb4
widebvh,1047968,145,1.45,114.875,2.803,25.046,135.507,163.626,279.1,18796058,279.157,492.261,551961024.0,NVIDIA H200,ac78eb4
widebvh,1047968,146,1.46,117.332,2.801,25.08,135.611,163.796,281.8,18777540,281.879,496.81,555436544.0,NVIDIA H200,ac78eb4
widebvh,1047968,147,1.47,114.646,2.998,25.074,135.386,163.741,279.017,18762354,279.085,501.379,559135552.0,NVIDIA H200,ac78eb4
widebvh,1047968,148,1.48,117.872,2.796,25.02,135.237,163.313,281.783,18754676,281.848,505.968,562760704.0,NVIDIA H200,ac78eb4
widebvh,1047968,149,1.49,118.435,2.838,25.006,135.274,163.382,282.41,18750646,282.465,510.578,566461696.0,NVIDIA H200,ac78eb4
warp,1047968,0,0.0,215.546,2.605,28.1,152.022,183.052,399.701,21166894,399.797,238.229,95863408.0,NVIDIA H200,ac78eb4
warp,1047968,1,0.01,235.312,2.423,28.467,154.161,185.322,421.516,21469578,421.584,238.246,97868744.0,NVIDIA H200,ac78eb4
warp,1047968,2,0.02,250.656,2.778,29.11,156.656,188.924,440.707,21834264,440.781,238.224,99844656.0,NVIDIA H200,ac78eb4
warp,1047968,3,0.03,259.817,2.452,29.152,158.038,189.918,450.613,22038126,450.678,238.163,101727536.0,NVIDIA H200,ac78eb4
warp,1047968,4,0.04,265.489,2.538,29.278,157.978,190.08,456.452,22083196,456.518,238.063,103509488.0,NVIDIA H200,ac78eb4
warp,1047968,5,0.05,266.885,2.403,29.031,156.541,188.254,455.982,21883416,456.042,237.924,105186000.0,NVIDIA H200,ac78eb4
warp,1047968,6,0.06,268.293,2.369,28.658,155.031,186.326,455.474,21656524,455.536,237.746,106750520.0,NVIDIA H200,ac78eb4
warp,1047968,7,0.07,266.919,2.337,28.428,153.778,184.826,452.564,21450790,452.622,237.531,108200240.0,NVIDIA H200,ac78eb4
warp,1047968,8,0.08,266.672,2.349,28.125,152.149,182.889,450.356,21228086,450.416,237.278,109528456.0,NVIDIA H200,ac78eb4
warp,1047968,9,0.09,267.162,2.371,27.94,151.213,181.789,450.27,21079560,450.328,236.989,110810360.0,NVIDIA H200,ac78eb4
warp,1047968,10,0.1,265.31,2.869,27.971,151.034,182.221,448.671,21051684,448.738,236.665,112388072.0,NVIDIA H200,ac78eb4
warp,1047968,11,0.11,265.35,2.41,27.967,151.369,182.023,448.239,21097990,448.297,236.306,113846048.0,NVIDIA H200,ac78eb4
warp,1047968,12,0.12,265.609,2.682,28.127,151.945,183.109,449.881,21167634,449.955,235.915,115507144.0,NVIDIA H200,ac78eb4
warp,1047968,13,0.13,265.662,2.379,28.142,152.339,183.124,449.692,21223020,449.755,235.492,117141160.0,NVIDIA H200,ac78eb4
